11; 9; 0.242312; -1; -1; -1; -1; -1; -1; -1
11; 5; 0.405792; -1; -1; -1; -1; -1; -1; -1
6; 2; 0.625; -1; -1; -1; -1; -1; -1; -1
5; 26; 0.55854; 47; 2; 2; 8.90463; 9; 13; 0.07494
6; 1; 0; -1; -1; -1; -1; -1; -1; -1
6; 25; 0.502945; 110; 1; 0; 8.00448; 5; 1.45455; 0.0789153
7; 10; 0.824129; 1; 2; 4; 8.54618; 8; 3; 0.137454
8; 8; 0.702118; -1; -1; -1; -1; -1; -1; -1
8; 2; 0.624903; -1; -1; -1; -1; -1; -1; -1
7; 15; 0.157296; 11; 0; 1; 5.2606; 6; 1.125; 0.0100531
8; 7; 0; -1; -1; -1; -1; -1; -1; -1
8; 8; 0.27608; -1; -1; -1; -1; -1; -1; -1
4; 715; 0.788248; 112; 0; 2; 3.90065; 5; 3.26786; 0.138577
5; 167; 0.0709303; 92; 1; 3; 3.33171; 9; 10.2667; 0.00730361
6; 14; 0.414937; 118; 1; 1; 9.45242; 8; 2.2; 0.0788528
7; 4; 0.624903; -1; -1; -1; -1; -1; -1; -1
7; 10; 0.220556; 83; 2; 0; 9.8313; 6; 1.4; 0.0353942
8; 6; 0; -1; -1; -1; -1; -1; -1; -1
8; 4; 0.462904; -1; -1; -1; -1; -1; -1; -1
6; 153; 0.0314806; 104; 1; 4; 5.5393; 7; 3.69697; 0.000203172
7; 121; 0.0199953; 96; 1; 4; 4.34025; 7; 4.59091; 0.000756283
8; 21; 0.110853; 95; 2; 0; 9.14741; 9; 2.83333; 0.0170348
9; 5; 0.394037; -1; -1; -1; -1; -1; -1; -1
9; 16; 0; -1; -1; -1; -1; -1; -1; -1
8; 100; 0; -1; -1; -1; -1; -1; -1; -1
7; 32; 0.0739382; 2; 1; 2; 5.17059; 8; 1.83333; 0.00434945
8; 21; 0; -1; -1; -1; -1; -1; -1; -1
8; 11; 0.20244; 117; 1; 0; 8.35275; 5; 1.16667; 0.0233322
9; 5; 0.394037; -1; -1; -1; -1; -1; -1; -1
9; 6; 0; -1; -1; -1; -1; -1; -1; -1
5; 548; 0.82604; 82; 1; 4; 7.34007; 7; 1.72277; 0.0290766
6; 201; 0.930118; 52; 2; 0; 7.60927; 9; 28; 0.013933
7; 195; 0.933514; 78; 1; 1; 8.19032; 5; 5.56667; 0.0618558
8; 166; 0.941663; 77; 2; 5; 9.6799; 8; 1.04878; 0.0116065
9; 85; 0.95079; 127; 0; 0; 6.58999; 4; 1.63636; 0.0549811
10; 53; 0.901164; 68; 1; 0; 6.15818; 5; 17.3333; 0.049784
11; 51; 0.884768; 65; 0; 1; 8.96448; 5; 3.41667; 0.0522752
12; 40; 0.858164; 1; 0; 2; 4.82419; 6; 7.4; 0.0867812
13; 4; 0.462904; -1; -1; -1; -1; -1; -1; -1
13; 36; 0.805658; 102; 2; 1; 5.11405; 8; 1; 0.103962
14; 18; 0.778483; 139; 1; 3; 8.83696; 9; 1.85714; 0.189037
