id,depth,n_node_samples,impurity,value
380,14,3,0,"[0,0,3,0,0]"
381,14,9,0.555556,"[0,0,6,0,3]"
382,12,29,0.737218,"[2,0,9,2,16]"
383,13,9,0,"[0,0,9,0,0]"
384,13,20,0.425,"[2,0,0,2,16]"
385,14,15,0.533333,"[2,0,0,2,11]"
386,15,1,0,"[0,0,0,1,0]"
387,15,14,0.446428,"[2,0,0,1,11]"
388,16,13,0.325444,"[2,0,0,0,11]"
389,17,2,0,"[2,0,0,0,0]"
390,17,11,0,"[0,0,0,0,11]"
391,16,1,0,"[0,0,0,1,0]"
392,14,5,0,"[0,0,0,0,5]"
393,7,49,0.805914,"[10,3,26,2,8]"
394,8,4,0.46875,"[0,0,1,0,3]"
395,8,45,0.779012,"[10,3,25,2,5]"
396,9,24,0.642361,"[4,2,16,2,0]"
397,10,13,0.325444,"[0,0,11,2,0]"
398,11,2,0.625,"[0,0,1,1,0]"
399,11,11,0.206611,"[0,0,10,1,0]"
400,12,1,0,"[0,0,0,1,0]"
401,12,10,0,"[0,0,10,0,0]"
402,10,11,0.785124,"[4,2,5,0,0]"
403,11,7,0.510204,"[2,0,5,0,0]"
404,11,4,0.625,"[2,2,0,0,0]"
405,9,21,0.844671,"[6,1,9,0,5]"
406,10,15,0.855555,"[6,1,5,0,3]"
407,11,8,0.742188,"[4,1,0,0,3]"
408,11,7,0.510204,"[2,0,5,0,0]"
409,10,6,0.555556,"[0,0,4,0,2]"
410,6,4975,0.859726,"[1042,160,1501,192,2080]"
411,7,4431,0.832105,"[767,129,1272,188,2075]"
412,8,1663,0.877616,"[497,100,332,61,673]"
413,9,1604,0.872643,"[465,93,322,57,667]"
414,10,1465,0.861209,"[401,91,265,56,652]"
415,11,198,0.520865,"[148,17,1,7,25]"
416,12,197,0.514507,"[148,16,1,7,25]"
417,13,64,0.253296,"[57,2,0,2,3]"
418,14,40,0.335937,"[34,1,0,2,3]"
419,15,25,0.272,"[22,0,0,2,1]"
420,16,21,0.221088,"[19,0,0,1,1]"
421,17,11,0,"[11,0,0,0,0]"
422,17,10,0.425,"[8,0,0,1,1]"
423,16,4,0.46875,"[3,0,0,1,0]"
424,15,15,0.422222,"[12,1,0,0,2]"
425,16,4,0.625,"[2,0,0,0,2]"
